key,value
title,"Atlas of interactions"
hide,"Hide"
show,"Show"
choose,"Choose"
layout,"map"
language,"Language"
loading,"loading..."
loading_graph,"Loading Graph"
clusters_legend,"Legend"
overview_title,"Overview"
algo,"Community detection algorithm"
algo_note,"NOTE: The algorithm described below and communities legend is provided by the author of the graph. The description for it may not be available in the selected language."
available_languages,"Available languages for this graph"
red_arrows,"Red arrows"
blue_arrows,"Blue arrows"
overview_clusters,"Current map legend:"
users,"Users"
represented,"Represented"
interactions,"Interactions"
show_communities,"Show communities"
graph_will_refresh,"(graph will refresh)"
experimental_options,"Experimental options"
show_hidden_clusters,"Show hidden clusters"
interactions_of_friends,"Interactions of friends"
labels_of_clusters,"Show labels"
more_details,"Show legend"
cluster_algo_made_by,"Algorithm by"
visualization,"Visualization based on"
based_on_atlas,"atlas"
from,"by"
search_for_a_handle,"Search for a handle"
community,"Community"
cluster,"Cluster"
supercluster,"Supercluster"
show_top,"Show top moots"
hide_top,"Hide top moots"
show_community,"Show list"
hide_community,"Hide list"
info_top_moots,"Information"
user,"User"
belongs_to,"belongs to"
these_are_top_moots_that,"Top moots that"
these_are_top_community,"Top users in the community"
these_are_top_cluster,"Top users in the cluster"
has_interacted_with,"has interacted with"
interactions_weight,"Relationship weight"
node,"Node"
size,"size"
